,ABS_MARGIN_MAX,ABS_MARGIN_AVG,ABS_MARGIN_SUM,geo,country,SUBGROUP,Predicted(SUM and AVG),Predicted(ALL 3)
0,6572729,125362,58947687,AP        ,IN              ,XLARGE,XLARGE,XLARGE
1,3934183,44128,18886274,AP        ,KR              ,XLARGE,LARGE,MEDIUM
2,777781,28931,9419587,AP        ,TW              ,LARGE,SMALL,SMALL
3,648627,17106,4235393,AP        ,HK              ,LARGE,XSMALL,XSMALL
4,737064,65372,6994830,AP        ,ID              ,LARGE,SMALL,SMALL
5,704324,61652,7201945,AP        ,MY              ,LARGE,SMALL,SMALL
6,424142,30656,5350459,AP        ,SG              ,MEDIUM,SMALL,SMALL
7,730088,49134,7128123,AP        ,TH              ,LARGE,SMALL,SMALL
8,319943,61068,1190710,AP        ,MO,SMALL,XSMALL,XSMALL
9,372537,41577,4242358,AP        ,PH              ,MEDIUM,XSMALL,XSMALL
10,126215,15049,1219461,AP        ,VN,SMALL,XSMALL,XSMALL
11,430749,140556,1211007,AP        ,BD,MEDIUM,XSMALL,SMALL
12,91246,30005,120019,AP        ,KH,SMALL,XSMALL,XSMALL
13,87044,16832,224629,AP        ,NP,SMALL,XSMALL,XSMALL
14,1654831,73500,19774285,CE        ,RU              ,XLARGE,MEDIUM,MEDIUM
15,800147,44603,7883080,CE        ,CZ              ,LARGE,SMALL,SMALL
16,977427,65545,21433995,CE        ,PL              ,LARGE,MEDIUM,MEDIUM
17,846875,79352,2379045,CE        ,BG              ,MEDIUM,XSMALL,SMALL
18,910822,61847,9450030,CE        ,HR              ,MEDIUM,SMALL,SMALL
19,722552,59388,8312540,CE        ,HU              ,LARGE,SMALL,SMALL
20,431949,59588,2500053,CE        ,RO              ,MEDIUM,XSMALL,XSMALL
21,254220,44422,1262961,CE        ,SK              ,SMALL,XSMALL,XSMALL
22,505464,37617,6333172,CE        ,SI              ,MEDIUM,SMALL,SMALL
23,362669,89059,2478883,CE        ,UA              ,MEDIUM,XSMALL,SMALL
24,405907,97300,1016164,CE        ,AZ              ,XSMALL,XSMALL,SMALL
25,305100,35026,626334,CE        ,LV              ,SMALL,XSMALL,XSMALL
26,150653,13818,670568,CE        ,LT              ,SMALL,XSMALL,XSMALL
27,697480,209852,3533442,CE        ,UZ              ,LARGE,XSMALL,LARGE
28,68880,24048,165077,CE        ,BY              ,XSMALL,XSMALL,XSMALL
29,112455,12522,272708,CE        ,BA              ,XSMALL,XSMALL,XSMALL
30,87824,28093,153419,CE        ,EE              ,XSMALL,XSMALL,XSMALL
31,38580,17834,64933,CE        ,KG              ,XSMALL,XSMALL,XSMALL
32,3845983,184260,23485651,EA        ,SA              ,XLARGE,LARGE,LARGE
33,1072903,77663,44189001,EA        ,ZA              ,LARGE,MEDIUM,MEDIUM
34,792083,57726,9131436,EA        ,TR              ,LARGE,SMALL,SMALL
35,832434,63560,20593657,EA        ,AE              ,LARGE,MEDIUM,MEDIUM
36,478389,60047,7892985,EA        ,EG              ,MEDIUM,SMALL,SMALL
37,907588,179339,12479465,EA        ,KE              ,MEDIUM,SMALL,LARGE
38,766000,71201,6885912,EA        ,KW              ,MEDIUM,SMALL,SMALL
39,324048,35661,1208561,EA        ,MA              ,SMALL,XSMALL,XSMALL
40,1706818,261652,20718879,EA        ,NG              ,XLARGE,MEDIUM,LARGE
41,543485,60442,4812799,EA        ,OM              ,MEDIUM,SMALL,SMALL
42,469117,42897,7347196,EA        ,PK              ,MEDIUM,SMALL,SMALL
43,2039000,113000,17934786,EA        ,QA              ,XLARGE,MEDIUM,MEDIUM
44,1293775,121908,8821530,EA        ,DZ              ,LARGE,SMALL,SMALL
45,540185,119852,1840000,EA        ,AO              ,MEDIUM,XSMALL,SMALL
46,119709,19931,866804,EA        ,BH              ,SMALL,XSMALL,XSMALL
47,465843,50458,5654473,EA        ,JO              ,MEDIUM,SMALL,SMALL
48,218821,61616,1581021,EA        ,TN              ,SMALL,XSMALL,XSMALL
49,296913,79541,541760,EA        ,BW              ,MEDIUM,XSMALL,SMALL
50,92200,44527,267705,EA        ,BF              ,XSMALL,XSMALL,XSMALL
51,192038,63461,1523059,EA        ,ET              ,SMALL,XSMALL,XSMALL
52,49980,22684,119642,EA        ,ML              ,XSMALL,XSMALL,XSMALL
53,75706,21647,520981,EA        ,TZ              ,XSMALL,XSMALL,XSMALL
54,137490,43797,1070990,EA        ,ZW              ,SMALL,XSMALL,XSMALL
55,1121886,52601,35974908,EP        ,IT              ,XLARGE,MEDIUM,MEDIUM
56,218658,38118,1594923,EP        ,GR              ,MEDIUM,XSMALL,XSMALL
57,4946683,65175,117059545,GC,CN              ,XLARGE,XLARGE,XLARGE
58,901772,49120,4097594,LA        ,AR              ,MEDIUM,XSMALL,XSMALL
59,1822567,82280,27202219,LA        ,BR              ,XLARGE,MEDIUM,MEDIUM
60,234676,43418,822120,LA        ,CL              ,MEDIUM,XSMALL,XSMALL
61,749399,41303,5555170,LA        ,CO              ,LARGE,SMALL,SMALL
62,523897,48441,2715441,LA        ,MX              ,LARGE,XSMALL,XSMALL
63,182827,28711,539307,LA        ,EC              ,LARGE,XSMALL,XSMALL
64,146433,23140,418522,LA        ,PE              ,MEDIUM,XSMALL,XSMALL
65,154960,33289,988035,LA        ,UY              ,MEDIUM,XSMALL,XSMALL
66,182158,36182,488439,LA        ,CR              ,MEDIUM,XSMALL,XSMALL
67,237508,38116,276096,LA        ,SV              ,MEDIUM,XSMALL,XSMALL
68,42804,6151,115075,LA        ,GT              ,SMALL,XSMALL,XSMALL
69,45957,14869,89214,LA        ,PA              ,SMALL,XSMALL,XSMALL
