ABS_MARGIN_MAX,ABS_MARGIN_AVG,ABS_MARGIN_SUM,geo,country,SUBGROUP,Predicted(MAX),Predicted(SUM and AVG),Predicted(ALL 3)
6572729,125362,58947687,AP        ,IN              ,XLARGE,XLARGE,XLARGE,XLARGE
3934183,44128,18886274,AP        ,KR              ,XLARGE,LARGE,LARGE,MEDIUM
777781,28931,9419587,AP        ,TW              ,LARGE,SMALL,SMALL,SMALL
648627,17106,4235393,AP        ,HK              ,LARGE,SMALL,XSMALL,XSMALL
737064,65372,6994830,AP        ,ID              ,LARGE,SMALL,SMALL,SMALL
704324,61652,7201945,AP        ,MY              ,LARGE,SMALL,SMALL,SMALL
424142,30656,5350459,AP        ,SG              ,MEDIUM,XSMALL,SMALL,SMALL
730088,49134,7128123,AP        ,TH              ,LARGE,SMALL,SMALL,SMALL
319943,61068,1190710,AP        ,MO,SMALL,XSMALL,XSMALL,XSMALL
372537,41577,4242358,AP        ,PH              ,MEDIUM,XSMALL,XSMALL,XSMALL
126215,15049,1219461,AP        ,VN,SMALL,XSMALL,XSMALL,XSMALL
430749,140556,1211007,AP        ,BD,MEDIUM,XSMALL,XSMALL,SMALL
91246,30005,120019,AP        ,KH,SMALL,XSMALL,XSMALL,XSMALL
87044,16832,224629,AP        ,NP,SMALL,XSMALL,XSMALL,XSMALL
1654831,73500,19774285,CE        ,RU              ,XLARGE,MEDIUM,MEDIUM,MEDIUM
800147,44603,7883080,CE        ,CZ              ,LARGE,SMALL,SMALL,SMALL
977427,65545,21433995,CE        ,PL              ,LARGE,SMALL,MEDIUM,MEDIUM
846875,79352,2379045,CE        ,BG              ,MEDIUM,SMALL,XSMALL,SMALL
910822,61847,9450030,CE        ,HR              ,MEDIUM,SMALL,SMALL,SMALL
722552,59388,8312540,CE        ,HU              ,LARGE,SMALL,SMALL,SMALL
431949,59588,2500053,CE        ,RO              ,MEDIUM,XSMALL,XSMALL,XSMALL
254220,44422,1262961,CE        ,SK              ,SMALL,XSMALL,XSMALL,XSMALL
505464,37617,6333172,CE        ,SI              ,MEDIUM,SMALL,SMALL,SMALL
362669,89059,2478883,CE        ,UA              ,MEDIUM,XSMALL,XSMALL,SMALL
405907,97300,1016164,CE        ,AZ              ,XSMALL,XSMALL,XSMALL,SMALL
305100,35026,626334,CE        ,LV              ,SMALL,XSMALL,XSMALL,XSMALL
150653,13818,670568,CE        ,LT              ,SMALL,XSMALL,XSMALL,XSMALL
697480,209852,3533442,CE        ,UZ              ,LARGE,SMALL,XSMALL,LARGE
68880,24048,165077,CE        ,BY              ,XSMALL,XSMALL,XSMALL,XSMALL
112455,12522,272708,CE        ,BA              ,XSMALL,XSMALL,XSMALL,XSMALL
87824,28093,153419,CE        ,EE              ,XSMALL,XSMALL,XSMALL,XSMALL
38580,17834,64933,CE        ,KG              ,XSMALL,XSMALL,XSMALL,XSMALL
3845983,184260,23485651,EA        ,SA              ,XLARGE,LARGE,LARGE,LARGE
1072903,77663,44189001,EA        ,ZA              ,LARGE,SMALL,MEDIUM,MEDIUM
792083,57726,9131436,EA        ,TR              ,LARGE,SMALL,SMALL,SMALL
832434,63560,20593657,EA        ,AE              ,LARGE,SMALL,MEDIUM,MEDIUM
478389,60047,7892985,EA        ,EG              ,MEDIUM,XSMALL,SMALL,SMALL
907588,179339,12479465,EA        ,KE              ,MEDIUM,SMALL,SMALL,LARGE
766000,71201,6885912,EA        ,KW              ,MEDIUM,SMALL,SMALL,SMALL
324048,35661,1208561,EA        ,MA              ,SMALL,XSMALL,XSMALL,XSMALL
1706818,261652,20718879,EA        ,NG              ,XLARGE,MEDIUM,MEDIUM,LARGE
543485,60442,4812799,EA        ,OM              ,MEDIUM,SMALL,SMALL,SMALL
469117,42897,7347196,EA        ,PK              ,MEDIUM,XSMALL,SMALL,SMALL
2039000,113000,17934786,EA        ,QA              ,XLARGE,MEDIUM,MEDIUM,MEDIUM
1293775,121908,8821530,EA        ,DZ              ,LARGE,MEDIUM,SMALL,SMALL
540185,119852,1840000,EA        ,AO              ,MEDIUM,SMALL,XSMALL,SMALL
119709,19931,866804,EA        ,BH              ,SMALL,XSMALL,XSMALL,XSMALL
465843,50458,5654473,EA        ,JO              ,MEDIUM,XSMALL,SMALL,SMALL
218821,61616,1581021,EA        ,TN              ,SMALL,XSMALL,XSMALL,XSMALL
296913,79541,541760,EA        ,BW              ,MEDIUM,XSMALL,XSMALL,SMALL
92200,44527,267705,EA        ,BF              ,XSMALL,XSMALL,XSMALL,XSMALL
192038,63461,1523059,EA        ,ET              ,SMALL,XSMALL,XSMALL,XSMALL
49980,22684,119642,EA        ,ML              ,XSMALL,XSMALL,XSMALL,XSMALL
75706,21647,520981,EA        ,TZ              ,XSMALL,XSMALL,XSMALL,XSMALL
137490,43797,1070990,EA        ,ZW              ,SMALL,XSMALL,XSMALL,XSMALL
1121886,52601,35974908,EP        ,IT              ,XLARGE,SMALL,MEDIUM,MEDIUM
218658,38118,1594923,EP        ,GR              ,MEDIUM,XSMALL,XSMALL,XSMALL
4946683,65175,117059545,GC,CN              ,XLARGE,LARGE,XLARGE,XLARGE
901772,49120,4097594,LA        ,AR              ,MEDIUM,SMALL,XSMALL,XSMALL
1822567,82280,27202219,LA        ,BR              ,XLARGE,MEDIUM,MEDIUM,MEDIUM
234676,43418,822120,LA        ,CL              ,MEDIUM,XSMALL,XSMALL,XSMALL
749399,41303,5555170,LA        ,CO              ,LARGE,SMALL,SMALL,SMALL
523897,48441,2715441,LA        ,MX              ,LARGE,SMALL,XSMALL,XSMALL
182827,28711,539307,LA        ,EC              ,LARGE,XSMALL,XSMALL,XSMALL
146433,23140,418522,LA        ,PE              ,MEDIUM,XSMALL,XSMALL,XSMALL
154960,33289,988035,LA        ,UY              ,MEDIUM,XSMALL,XSMALL,XSMALL
182158,36182,488439,LA        ,CR              ,MEDIUM,XSMALL,XSMALL,XSMALL
237508,38116,276096,LA        ,SV              ,MEDIUM,XSMALL,XSMALL,XSMALL
42804,6151,115075,LA        ,GT              ,SMALL,XSMALL,XSMALL,XSMALL
45957,14869,89214,LA        ,PA              ,SMALL,XSMALL,XSMALL,XSMALL
